city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
Durham,Durham,Monday,21,Intersection,June,C: Possible Injury,Walking in Roadway,Commercial,Unknown Injury,35.99369501,-78.87019809,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,Unknown
Greensboro,Guilford,Thursday,14,Intersection-Related,June,C: Possible Injury,Entering / Exiting Parked Vehicle,Residential,Unknown Injury,36.06500669,-79.77759603,Unknown Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
None - Rural Crash,Carteret,Tuesday,23,Non-Intersection,May,B: Suspected Minor Injury,Standing in Roadway,Farms: Woods: Pastures,O: No Injury,34.73366419,-76.87597919,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Not Divided,25-29
Greensboro,Guilford,Wednesday,12,Non-Roadway,June,C: Possible Injury,Dispute-Related,Residential,O: No Injury,36.13160727,-79.78507572,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,20-24
Boone,Watauga,Wednesday,15,Intersection,June,A: Suspected Serious Injury,Dash,Commercial,O: No Injury,36.22516952,-81.66061327,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Charlotte,Mecklenburg,Saturday,11,Non-Intersection,April,C: Possible Injury,Working in Roadway,Commercial,O: No Injury,35.0638083,-80.81538163,C: Possible Injury,Paved Shoulder / Bike Lane / Parking Lane,Interstate,Two-Way: Divided: Positive Median Barrier,20-24
Durham,Durham,Wednesday,16,Non-Roadway,June,C: Possible Injury,Off Roadway - Parking Lot,Residential,O: No Injury,36.00281259,-78.89506921,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,30-39
Concord,Cabarrus,Monday,12,Non-Intersection,April,B: Suspected Minor Injury,Crossing an Expressway,Commercial,O: No Injury,35.43065251,-80.66486783,B: Suspected Minor Injury,Travel Lane,Interstate,Two-Way: Divided: Positive Median Barrier,40-49
None - Rural Crash,Moore,Thursday,21,Non-Roadway,June,B: Suspected Minor Injury,Off Roadway - Other / Unknown,Residential,Unknown Injury,35.28521974,-79.57334874,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
None - Rural Crash,Duplin,Wednesday,19,Non-Roadway,June,B: Suspected Minor Injury,Off Roadway - Other / Unknown,Residential,O: No Injury,35.03006486,-77.82353401,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Private Road: Driveway,One-Way: Not Divided,20-24
