city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
None - Rural Crash,Onslow,Sunday,1,Non-Intersection,June,K: Killed,Walking Along Roadway Against Traffic - From Front,Commercial,Unknown Injury,34.76831832,-77.34996196,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,Unknown
Statesville,Iredell,Friday,23,Non-Intersection,August,A: Suspected Serious Injury,Walking Along Roadway Against Traffic - From Front,Commercial,O: No Injury,35.81795128,-80.87633436,A: Suspected Serious Injury,Unpaved Right-of-Way,Local Street,Two-Way: Not Divided,40-49
None - Rural Crash,Surry,Friday,22,Non-Intersection,July,A: Suspected Serious Injury,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,36.48276008,-80.69811008,A: Suspected Serious Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,60-69
High Point,Guilford,Sunday,4,Non-Intersection,July,C: Possible Injury,Standing in Roadway,Residential,O: No Injury,35.9574493,-79.99011903,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,25-29
Charlotte,Mecklenburg,Sunday,6,Non-Intersection,August,B: Suspected Minor Injury,Dash,Commercial,O: No Injury,35.23399372,-80.87792562,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Divided: Positive Median Barrier,50-59
Monroe,Union,Friday,21,Intersection,July,C: Possible Injury,Walking Along Roadway Against Traffic - From Front,Residential,Unknown Injury,34.974853,-80.53663129,C: Possible Injury,Paved Shoulder / Bike Lane / Parking Lane,Local Street,Unknown,Unknown
Charlotte,Mecklenburg,Friday,15,Non-Roadway,August,O: No Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.33724254,-80.82394848,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,20-24
Greenville,Pitt,Friday,0,Non-Intersection,August,B: Suspected Minor Injury,Dash,Commercial,O: No Injury,35.61127909,-77.37192052,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Concord,Cabarrus,Monday,14,Non-Intersection,July,C: Possible Injury,Backing Vehicle - Roadway,Residential,O: No Injury,35.39890388,-80.58169763,C: Possible Injury,Travel Lane,Local Street,One-Way: Not Divided,30-39
Kinston,Lenoir,Thursday,19,Non-Intersection,July,B: Suspected Minor Injury,Backing Vehicle - Driveway / Sidewalk Intersection,Residential,O: No Injury,35.26779938,-77.59707303,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Charlotte,Mecklenburg,Wednesday,6,Non-Intersection,August,O: No Injury,Standing in Roadway,Commercial,O: No Injury,35.23502565,-80.73374441,Unknown Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Boone,Watauga,Wednesday,15,Intersection,August,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,36.21993304,-81.68599097,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,70+
Goldsboro,Wayne,Thursday,23,Intersection-Related,August,C: Possible Injury,Vehicle-Vehicle / Object,Farms: Woods: Pastures,O: No Injury,35.38453101,-77.92634448,C: Possible Injury,Unpaved Right-of-Way,State Secondary Route,Two-Way: Not Divided,30-39
Asheville,Buncombe,Friday,19,Non-Roadway,August,O: No Injury,Dispute-Related,Commercial,O: No Injury,35.58302206,-82.52400716,Unknown Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,30-39
None - Rural Crash,Columbus,Thursday,12,Non-Roadway,August,A: Suspected Serious Injury,Backing Vehicle - Other / Unknown,Farms: Woods: Pastures,O: No Injury,34.25741264,-78.76391471,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Private Road: Driveway,Unknown,40-49
Charlotte,Mecklenburg,Monday,21,Non-Intersection,August,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,35.27032434,-80.73903826,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Nags Head,Dare,Monday,16,Intersection,July,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.98019922,-75.64215195,C: Possible Injury,Travel Lane,US Route,Two-Way: Divided: Unprotected Median,50-59
None - Rural Crash,Onslow,Saturday,5,Non-Intersection,September,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,Unknown Injury,34.55421216,-77.49666069,C: Possible Injury,Paved Shoulder / Bike Lane / Parking Lane,US Route,Two-Way: Divided: Unprotected Median,Unknown
None - Rural Crash,Haywood,Wednesday,13,Non-Intersection,August,A: Suspected Serious Injury,Motor Vehicle Loss of Control,Farms: Woods: Pastures,O: No Injury,35.52609389,-82.95204903,A: Suspected Serious Injury,Paved Shoulder / Bike Lane / Parking Lane,US Route,Two-Way: Divided: Positive Median Barrier,20-24
Boone,Watauga,Tuesday,10,Intersection,September,O: No Injury,Motorist Right Turn - Perpendicular Paths,Institutional,Unknown Injury,36.21363432,-81.68220595,O: No Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,Unknown
Charlotte,Mecklenburg,Friday,12,Non-Intersection,September,A: Suspected Serious Injury,Motor Vehicle Loss of Control,Commercial,B: Suspected Minor Injury,35.25393271,-80.87208512,A: Suspected Serious Injury,Sidewalk / Shared Use Path / Driveway Crossing,Local Street,Two-Way: Divided: Unprotected Median,60-69
Burlington,Alamance,Saturday,13,Non-Roadway,September,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.0988628,-79.43309036,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Statesville,Iredell,Friday,10,Non-Roadway,August,K: Killed,Off Roadway - Other / Unknown,Residential,O: No Injury,35.79653832,-80.89014899,K: Killed,Driveway / Alley,Private Road: Driveway,Two-Way: Not Divided,40-49
Nags Head,Dare,Wednesday,4,Non-Intersection,June,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Commercial,O: No Injury,35.90193846,-75.60831033,B: Suspected Minor Injury,Travel Lane,US Route,Two-Way: Not Divided,70+
None - Rural Crash,Brunswick,Saturday,14,Non-Roadway,September,A: Suspected Serious Injury,Driverless Vehicle,Residential,Unknown Injury,33.93013882,-78.57838575,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Raleigh,Wake,Tuesday,14,Non-Roadway,September,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,Unknown Injury,35.81987487,-78.62752192,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Raleigh,Wake,Sunday,6,Non-Intersection,September,K: Killed,Pedestrian Failed to Yield,Residential,O: No Injury,35.83555783,-78.59573133,K: Killed,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Marion,Mcdowell,Thursday,15,Non-Roadway,September,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.69179723,-81.99371545,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,40-49
Oak Island,Brunswick,Friday,14,Non-Roadway,August,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,33.91160775,-78.10387584,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Winston-Salem,Forsyth,Sunday,21,Non-Intersection,August,K: Killed,Non-Intersection - Other / Unknown,Commercial,O: No Injury,36.04451563,-80.25992558,K: Killed,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,60-69
Durham,Durham,Tuesday,10,Intersection,October,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.99700949,-78.90893974,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,40-49
Winston-Salem,Forsyth,Friday,16,Non-Roadway,August,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.09121387,-80.27458958,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Greensboro,Guilford,Tuesday,23,Non-Roadway,September,C: Possible Injury,Off Roadway - Parking Lot,Residential,O: No Injury,36.05503514,-79.86221205,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,25-29
Hickory,Catawba,Thursday,20,Non-Intersection,August,C: Possible Injury,Pedestrian Failed to Yield,Residential,Unknown Injury,35.72141846,-81.33644882,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Murfreesboro,Hertford,Wednesday,4,Non-Intersection,August,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Commercial,O: No Injury,36.44179686,-77.11682624,C: Possible Injury,Travel Lane,US Route,Two-Way: Not Divided,60-69
None - Rural Crash,Guilford,Thursday,11,Non-Roadway,September,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.10683043,-79.93499442,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,40-49
Asheboro,Randolph,Sunday,2,Non-Intersection,October,B: Suspected Minor Injury,Walking Along Roadway - Direction / Position Unknown,Residential,Unknown Injury,35.71100444,-79.80658507,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Statesville,Iredell,Friday,8,Non-Roadway,September,B: Suspected Minor Injury,Vehicle-Vehicle / Object,Commercial,O: No Injury,35.81007414,-80.86940043,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,25-29
Greensboro,Guilford,Saturday,12,Non-Roadway,September,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.0870061,-79.83991069,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Charlotte,Mecklenburg,Friday,19,Non-Intersection,September,C: Possible Injury,Walking Along Roadway Against Traffic - From Front,Residential,Unknown Injury,35.23989289,-80.86901793,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Wilmington,New Hanover,Sunday,21,Intersection-Related,September,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,34.22404752,-77.94472336,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Divided: Positive Median Barrier,60-69
Pittsboro,Chatham,Saturday,12,Non-Roadway,September,O: No Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.71883891,-79.16634184,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,40-49
None - Rural Crash,New Hanover,Saturday,21,Non-Intersection,September,B: Suspected Minor Injury,Walking Along Roadway Against Traffic - From Front,Residential,O: No Injury,34.27602655,-77.93081278,B: Suspected Minor Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,30-39
Burlington,Alamance,Friday,21,Non-Roadway,September,B: Suspected Minor Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,36.08015683,-79.51001268,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
New Bern,Craven,Friday,23,Non-Roadway,September,B: Suspected Minor Injury,Assault with Vehicle,Commercial,Unknown Injury,35.10352157,-77.03991469,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,20-24
None - Rural Crash,Burke,Sunday,4,Non-Intersection,September,K: Killed,Lying in Roadway,Farms: Woods: Pastures,O: No Injury,35.66493617,-81.47601454,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,20-24
None - Rural Crash,Lenoir,Wednesday,16,Non-Intersection,September,B: Suspected Minor Injury,Dash,Farms: Woods: Pastures,O: No Injury,35.12982177,-77.6426869,B: Suspected Minor Injury,Travel Lane,US Route,Two-Way: Not Divided,40-49
Randleman,Randolph,Saturday,18,Non-Roadway,October,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.82028046,-79.82300783,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,30-39
Greensboro,Guilford,Monday,0,Intersection-Related,October,B: Suspected Minor Injury,Pedestrian Failed to Yield,Residential,Unknown Injury,36.05212608,-79.80470663,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
High Point,Guilford,Wednesday,21,Non-Intersection,September,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,35.96159266,-79.93906271,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Fayetteville,Cumberland,Wednesday,7,Intersection,September,B: Suspected Minor Injury,Dash,Residential,O: No Injury,35.09840875,-78.99423792,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Rocky Mount,Nash,Sunday,1,Non-Roadway,October,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.96391547,-77.82017353,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,30-39
Hickory,Catawba,Monday,15,Intersection,September,B: Suspected Minor Injury,Motorist Right Turn - Perpendicular Paths,Residential,O: No Injury,35.75449221,-81.31004511,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,50-59
Knightdale,Wake,Thursday,22,Non-Intersection,November,B: Suspected Minor Injury,Assault with Vehicle,Commercial,O: No Injury,35.80140615,-78.51524447,B: Suspected Minor Injury,Paved Shoulder / Bike Lane / Parking Lane,Interstate,One-Way: Not Divided,30-39
Monroe,Union,Thursday,0,Non-Roadway,October,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,34.98136107,-80.4927964,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Private Road: Driveway,Two-Way: Not Divided,40-49
Charlotte,Mecklenburg,Tuesday,7,Non-Roadway,November,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.2761647,-80.7928799,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,25-29
Greensboro,Guilford,Saturday,14,Non-Intersection,November,C: Possible Injury,Vehicle-Vehicle / Object,Residential,O: No Injury,36.15055552,-79.71075479,C: Possible Injury,Other / Unknown,Public Vehicular Area,Unknown,0-19
Greensboro,Guilford,Saturday,13,Non-Roadway,November,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,36.13574775,-79.85925316,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,30-39
None - Rural Crash,Mecklenburg,Monday,16,Non-Roadway,May,O: No Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.22092254,-80.9451822,Unknown Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,Unknown
Shelby,Cleveland,Friday,6,Intersection,October,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.28945116,-81.537312,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,50-59
None - Rural Crash,Jackson,Friday,3,Non-Roadway,October,A: Suspected Serious Injury,Disabled Vehicle-Related,Commercial,O: No Injury,35.31350807,-83.17659609,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,30-39
Charlotte,Mecklenburg,Saturday,19,Intersection-Related,October,B: Suspected Minor Injury,Dash,Residential,O: No Injury,35.2673953,-80.76865151,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Divided: Positive Median Barrier,70+
Sharpsburg,Nash,Sunday,1,Non-Intersection,November,C: Possible Injury,Vehicle-Vehicle / Object,Residential,O: No Injury,35.86851789,-77.83218146,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Charlotte,Mecklenburg,Monday,19,Non-Intersection,November,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Residential,Unknown Injury,35.3149228,-80.75160977,B: Suspected Minor Injury,Unpaved Right-of-Way,Local Street,Two-Way: Not Divided,Unknown
Fayetteville,Cumberland,Wednesday,20,Non-Intersection,September,C: Possible Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.11173239,-78.92749983,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Wilmington,New Hanover,Thursday,10,Non-Intersection,October,C: Possible Injury,Dart-Out,Commercial,O: No Injury,34.2092657,-77.87584752,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,70+
Greensboro,Guilford,Sunday,16,Non-Intersection,July,B: Suspected Minor Injury,Pedestrian Failed to Yield,Residential,O: No Injury,36.10610535,-79.77863109,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,30-39
Brevard,Transylvania,Saturday,18,Intersection,November,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.23368522,-82.73439341,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,30-39
Durham,Durham,Tuesday,21,Intersection,October,C: Possible Injury,Motorist Right Turn on Red - Perpendicular Paths,Commercial,O: No Injury,35.90255635,-78.89525977,C: Possible Injury,Crosswalk Area,NC Route,Two-Way: Not Divided,40-49
Greensboro,Guilford,Wednesday,11,Non-Roadway,October,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.00191622,-79.79887346,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,50-59
Fayetteville,Cumberland,Wednesday,7,Non-Intersection,October,C: Possible Injury,Walking Along Roadway - Direction / Position Unknown,Commercial,O: No Injury,35.04415092,-78.97461304,C: Possible Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,70+
None - Rural Crash,Alamance,Wednesday,15,Non-Roadway,October,C: Possible Injury,Motor Vehicle Loss of Control,Residential,C: Possible Injury,36.15448745,-79.2770338,C: Possible Injury,Non-Roadway - Parking Lot / Other,NC Route,Two-Way: Not Divided,30-39
Cary,Wake,Monday,12,Non-Roadway,October,O: No Injury,Backing Vehicle - Parking Lot,Commercial,Unknown Injury,35.8291797,-78.76996481,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,Unknown
Greensboro,Guilford,Friday,6,Intersection-Related,October,B: Suspected Minor Injury,Motorist Right Turn - Parallel Paths,Institutional,O: No Injury,36.00181796,-79.79225724,B: Suspected Minor Injury,Travel Lane,Interstate,One-Way: Not Divided,40-49
Charlotte,Mecklenburg,Sunday,3,Non-Roadway,November,B: Suspected Minor Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.16930106,-80.87822769,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,25-29
Morrisville,Wake,Friday,12,Non-Roadway,October,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.86685684,-78.84339039,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,30-39
None - Rural Crash,Scotland,Wednesday,18,Non-Intersection,November,C: Possible Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,34.8099939,-79.54731656,C: Possible Injury,Travel Lane,NC Route,Two-Way: Not Divided,40-49
Wilmington,New Hanover,Monday,14,Intersection,October,C: Possible Injury,Motorist Left Turn - Parallel Paths,Residential,O: No Injury,34.22812536,-77.94250626,C: Possible Injury,Crosswalk Area,Local Street,One-Way: Not Divided,30-39
Indian Trail,Union,Friday,16,Non-Intersection,October,B: Suspected Minor Injury,Pedestrian Failed to Yield,Institutional,O: No Injury,35.04720055,-80.6460153,B: Suspected Minor Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,50-59
Raleigh,Wake,Monday,22,Non-Intersection,November,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Commercial,O: No Injury,35.83997539,-78.57976696,B: Suspected Minor Injury,Paved Shoulder / Bike Lane / Parking Lane,Local Street,Two-Way: Divided: Positive Median Barrier,50-59
None - Rural Crash,New Hanover,Friday,8,Non-Intersection,December,O: No Injury,Vehicle-Vehicle / Object,Institutional,O: No Injury,34.09861256,-77.90783881,O: No Injury,Crosswalk Area,State Secondary Route,Two-Way: Not Divided,30-39
None - Rural Crash,Guilford,Tuesday,16,Non-Roadway,October,C: Possible Injury,Backing Vehicle - Parking Lot,Institutional,O: No Injury,36.15969322,-79.67344182,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
None - Rural Crash,Graham,Sunday,6,Non-Intersection,November,K: Killed,Driverless Vehicle,Farms: Woods: Pastures,Unknown Injury,35.26870646,-83.75771009,K: Killed,Unpaved Right-of-Way,State Secondary Route,Two-Way: Not Divided,Unknown
None - Rural Crash,Wilson,Tuesday,4,Non-Intersection,November,O: No Injury,Lying in Roadway,Farms: Woods: Pastures,O: No Injury,35.69657616,-77.97543474,Unknown Injury,Travel Lane,Interstate,Two-Way: Divided: Positive Median Barrier,25-29
Carrboro,Orange,Friday,14,Intersection-Related,November,O: No Injury,Motor Vehicle Loss of Control,Residential,O: No Injury,35.92143752,-79.0863293,O: No Injury,Sidewalk / Shared Use Path / Driveway Crossing,Local Street,Two-Way: Not Divided,25-29
Charlotte,Mecklenburg,Tuesday,13,Non-Roadway,November,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.23246777,-80.84476499,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,50-59
Asheville,Buncombe,Monday,8,Non-Intersection,November,O: No Injury,Walking Along Roadway With Traffic - From Behind,Commercial,O: No Injury,35.59250522,-82.61672892,Unknown Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Morganton,Burke,Thursday,12,Intersection,November,O: No Injury,Motorist Right Turn on Red - Perpendicular Paths,Commercial,O: No Injury,35.74464149,-81.68925213,Unknown Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,50-59
Kannapolis,Cabarrus,Tuesday,12,Non-Roadway,November,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.4750238,-80.62432534,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
Roanoke Rapids,Halifax,Friday,9,Intersection-Related,September,B: Suspected Minor Injury,Walking Along Roadway Against Traffic - From Front,Residential,O: No Injury,36.43868548,-77.65749209,B: Suspected Minor Injury,Travel Lane,US Route,Two-Way: Divided: Unprotected Median,50-59
Stallings,Union,Thursday,13,Non-Intersection,November,A: Suspected Serious Injury,Pedestrian Failed to Yield,Residential,O: No Injury,35.08111149,-80.69159392,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Kings Mountain,Cleveland,Saturday,10,Intersection,November,B: Suspected Minor Injury,Dash,Residential,O: No Injury,35.25718364,-81.33702066,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Not Divided,20-24
Charlotte,Mecklenburg,Wednesday,6,Intersection,December,C: Possible Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.26130993,-80.83674019,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,30-39
Salisbury,Rowan,Tuesday,19,Non-Intersection,November,B: Suspected Minor Injury,Crossing an Expressway,Farms: Woods: Pastures,O: No Injury,35.64362069,-80.4794405,B: Suspected Minor Injury,Travel Lane,Interstate,Two-Way: Divided: Positive Median Barrier,50-59
Statesville,Iredell,Saturday,17,Non-Intersection,November,B: Suspected Minor Injury,Dash,Commercial,O: No Injury,35.80969724,-80.86266235,B: Suspected Minor Injury,Travel Lane,Interstate,Two-Way: Divided: Positive Median Barrier,30-39
None - Rural Crash,New Hanover,Sunday,20,Non-Intersection,November,C: Possible Injury,Disabled Vehicle-Related,Farms: Woods: Pastures,O: No Injury,34.33073549,-77.85704204,C: Possible Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,60-69
Greensboro,Guilford,Thursday,17,Non-Roadway,December,C: Possible Injury,Off Roadway - Parking Lot,Residential,O: No Injury,36.04537479,-79.84895449,C: Possible Injury,Non-Roadway - Parking Lot / Other,Local Street,Two-Way: Not Divided,20-24
Durham,Durham,Friday,14,Non-Roadway,December,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.94983612,-78.99128075,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,40-49
Hickory,Catawba,Monday,17,Intersection,November,A: Suspected Serious Injury,Pedestrian Failed to Yield,Residential,O: No Injury,35.73530574,-81.36780296,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Hickory,Catawba,Wednesday,16,Non-Intersection,November,B: Suspected Minor Injury,Dash,Commercial,O: No Injury,35.74760267,-81.33506696,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Not Divided,20-24
Greensboro,Guilford,Sunday,12,Non-Roadway,December,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,36.07610734,-79.75700944,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,40-49
None - Rural Crash,Surry,Saturday,17,Non-Intersection,November,K: Killed,Crossing an Expressway,Farms: Woods: Pastures,C: Possible Injury,36.46792982,-80.68261562,K: Killed,Travel Lane,Interstate,Two-Way: Divided: Positive Median Barrier,50-59
Albemarle,Stanly,Monday,9,Intersection,November,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.35225587,-80.19940182,O: No Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,60-69
Archdale,Randolph,Friday,15,Non-Intersection,November,B: Suspected Minor Injury,Driverless Vehicle,Residential,Unknown Injury,35.91337102,-79.96944355,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Raleigh,Wake,Wednesday,12,Non-Intersection,January,K: Killed,Dart-Out,Commercial,O: No Injury,35.73078531,-78.64007407,K: Killed,Travel Lane,Local Street,Two-Way: Not Divided,50-59
None - Rural Crash,Cumberland,Friday,15,Non-Intersection,December,B: Suspected Minor Injury,Walking Along Roadway Against Traffic - From Front,Farms: Woods: Pastures,Unknown Injury,35.21308534,-78.94617599,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Divided: Unprotected Median,Unknown
None - Rural Crash,Swain,Monday,12,Non-Roadway,January,B: Suspected Minor Injury,Motor Vehicle Loss of Control,Farms: Woods: Pastures,B: Suspected Minor Injury,35.35712749,-83.48518952,C: Possible Injury,Driveway / Alley,Private Road: Driveway,Two-Way: Not Divided,20-24
None - Rural Crash,Lincoln,Tuesday,18,Non-Intersection,January,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,35.44195322,-80.96212563,C: Possible Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,50-59
Rutherfordton,Rutherford,Friday,7,Intersection,December,C: Possible Injury,Motorist Right Turn on Red - Perpendicular Paths,Commercial,O: No Injury,35.36383869,-81.94319322,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,40-49
Greensboro,Guilford,Monday,1,Intersection,January,A: Suspected Serious Injury,Intersection - Other / Unknown,Residential,Unknown Injury,36.05842272,-79.85680616,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,Unknown
Laurinburg,Scotland,Thursday,0,Non-Roadway,November,C: Possible Injury,Dispute-Related,Commercial,O: No Injury,34.75334927,-79.48253868,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,0-19
